username,video_id,info_video
sabi12,2rVOdI2HXq0,"Une Famille au Canada - Film COMPLET en Français (Aventures, Comédie)  Une famille part à l'aventure, au Canada, à la recherche de trésors ! Plus de Films entiers à voir en Famille ICI ..."
john12,ElaBMrO-pdM,"Comment la Chine est devenue l&#39;usine du monde  Il y a des décennies où rien ne se passe, et il y a des semaines où des décennies se produisent. En 2001, alors que les ..."
john12,65RwlYNO9j4,"Entrevistamos a Yves Cochet (VO subtítulos ESP+CAT)  Militante ecologista y firme defensor del decrecimiento, participó activamente en la política francesa dentro de Los Verdes, siendo ..."
john12,5tdqNCDOCUw,"Carbon Nation: How Can Climate Change Be Stopped | Full Documentary  Carbon Nation is an optimistic, solutions-based, non-preachy, non-partisan, big tent film that shows tackling climate change ..."
john12,3JrkNq7Jg_Q,"Ep. 07 | Sanofi, labo &quot;chouchou&quot; de la Macronie ?  Nos enquêtes ne peuvent exister qu'avec votre soutien ➡️ https://www.off-investigation.fr/soutenir/ 🔎 Synopsis : Bénéficiaire de ..."
